epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.156,0.79062,4.3072,1.42888,0,0,0,0,0.57445,3.97795,1.33283,7.378e-05,7.378e-05,7.378e-05
2,17.8092,0.47617,3.83763,1.19452,0.01994,0.33244,0.0792,0.06643,0.50025,3.37183,1.21076,0.000148456,0.000148456,0.000148456
3,25.1828,0.45609,3.25358,1.17823,0.6912,0.10317,0.18171,0.16439,0.45727,2.54798,1.16457,0.000221623,0.000221623,0.000221623
4,32.5611,0.4477,2.76599,1.14583,0.66446,0.24643,0.25702,0.21259,0.63429,2.25585,1.34391,0.000230931,0.000230931,0.000230931
5,40.8885,0.46261,2.41658,1.14976,0.57216,0.35565,0.31257,0.27149,0.53982,2.10591,1.22601,0.000228575,0.000228575,0.000228575
6,48.2157,0.44834,2.12734,1.13264,0.5762,0.43539,0.40484,0.36284,0.49492,1.63373,1.16064,0.000226219,0.000226219,0.000226219
7,55.9404,0.42971,1.93229,1.11586,0.55538,0.47247,0.49062,0.4453,0.49584,1.50281,1.14886,0.000223863,0.000223863,0.000223863
8,63.2103,0.43175,1.81426,1.11896,0.60334,0.48659,0.51754,0.47811,0.39886,1.49009,1.04048,0.000221507,0.000221507,0.000221507
9,70.5006,0.41644,1.68099,1.11186,0.68313,0.51139,0.54117,0.49029,0.48833,1.38734,1.12088,0.00021915,0.00021915,0.00021915
10,77.7553,0.41295,1.58638,1.10513,0.69171,0.59132,0.62833,0.57732,0.4105,1.09958,1.05876,0.000216794,0.000216794,0.000216794
11,84.9603,0.38881,1.4622,1.08584,0.60784,0.62179,0.64195,0.5811,0.4486,1.25651,1.08612,0.000214438,0.000214438,0.000214438
12,92.2894,0.38036,1.37088,1.08136,0.64196,0.6521,0.67916,0.62921,0.39254,1.06341,1.01286,0.000212082,0.000212082,0.000212082
13,99.6609,0.38649,1.33824,1.08929,0.83114,0.56728,0.70607,0.6572,0.4018,1.10999,1.01939,0.000209726,0.000209726,0.000209726
14,106.931,0.39001,1.31092,1.09548,0.67835,0.63987,0.69578,0.643,0.39036,1.00658,1.0329,0.000207369,0.000207369,0.000207369
15,113.925,0.37487,1.25091,1.07952,0.7753,0.63409,0.72694,0.6838,0.35079,0.92075,0.95977,0.000205013,0.000205013,0.000205013
16,121.083,0.37783,1.18655,1.08206,0.62882,0.67593,0.71277,0.66733,0.36556,1.0477,0.97346,0.000202657,0.000202657,0.000202657
17,128.226,0.3657,1.12506,1.06926,0.73271,0.63716,0.75503,0.7019,0.38584,1.12162,1.0217,0.000200301,0.000200301,0.000200301
18,135.486,0.37147,1.10785,1.07108,0.71944,0.67874,0.75914,0.71255,0.38398,0.9471,0.9954,0.000197945,0.000197945,0.000197945
19,142.819,0.36128,1.05052,1.06513,0.70956,0.6954,0.7795,0.7372,0.36073,0.93741,0.96814,0.000195588,0.000195588,0.000195588
20,150.23,0.37138,1.0537,1.06693,0.71437,0.76117,0.83421,0.77742,0.38049,0.85554,0.97763,0.000193232,0.000193232,0.000193232
21,157.409,0.34306,0.97677,1.05674,0.72194,0.78314,0.83999,0.76711,0.42424,0.80577,1.03419,0.000190876,0.000190876,0.000190876
22,164.41,0.36147,1.00281,1.07036,0.77933,0.73313,0.83604,0.78688,0.34522,0.84871,0.93273,0.00018852,0.00018852,0.00018852
23,171.67,0.35428,0.97965,1.06128,0.7995,0.74844,0.85759,0.80563,0.35104,0.73333,0.95834,0.000186164,0.000186164,0.000186164
24,178.909,0.34322,0.91787,1.05401,0.73187,0.816,0.85091,0.80007,0.35161,0.73669,0.95592,0.000183807,0.000183807,0.000183807
25,186.063,0.33978,0.91602,1.05498,0.82437,0.78827,0.88757,0.83098,0.35648,0.7655,0.96549,0.000181451,0.000181451,0.000181451
26,193.218,0.3565,0.89801,1.06909,0.821,0.79899,0.88236,0.82738,0.35056,0.71029,0.94043,0.000179095,0.000179095,0.000179095
27,200.45,0.34887,0.8885,1.06162,0.74876,0.83933,0.87359,0.82163,0.33367,0.70844,0.94039,0.000176739,0.000176739,0.000176739
28,207.667,0.3418,0.85248,1.05113,0.76896,0.79049,0.86896,0.8224,0.33433,0.79529,0.92834,0.000174383,0.000174383,0.000174383
29,214.633,0.32598,0.82616,1.04048,0.80291,0.79533,0.88326,0.84093,0.31345,0.71423,0.90481,0.000172026,0.000172026,0.000172026
30,221.645,0.34331,0.82539,1.05227,0.80981,0.86783,0.90604,0.86682,0.31619,0.62157,0.91667,0.00016967,0.00016967,0.00016967
31,228.982,0.32893,0.81337,1.04176,0.84,0.84583,0.91101,0.86603,0.32627,0.67522,0.91598,0.000167314,0.000167314,0.000167314
32,236.152,0.32926,0.8011,1.04647,0.84229,0.85279,0.90887,0.8645,0.33681,0.63924,0.92864,0.000164958,0.000164958,0.000164958
33,243.303,0.32945,0.75798,1.04459,0.84664,0.85182,0.91178,0.86486,0.3334,0.67538,0.94088,0.000162602,0.000162602,0.000162602
34,250.563,0.3379,0.77402,1.03771,0.82998,0.81308,0.89287,0.84972,0.32294,0.63042,0.91543,0.000160245,0.000160245,0.000160245
35,257.885,0.33455,0.77137,1.0492,0.85706,0.82157,0.91071,0.85031,0.35133,0.67422,0.94241,0.000157889,0.000157889,0.000157889
36,265.144,0.33581,0.74951,1.05066,0.88667,0.86281,0.93733,0.89552,0.30543,0.54996,0.89921,0.000155533,0.000155533,0.000155533
37,272.318,0.32694,0.75323,1.04813,0.85143,0.82737,0.90985,0.85069,0.36528,0.70123,0.97362,0.000153177,0.000153177,0.000153177
38,279.363,0.33174,0.76055,1.04332,0.81788,0.88261,0.92353,0.88039,0.31787,0.64367,0.91421,0.000150821,0.000150821,0.000150821
39,286.452,0.33269,0.74536,1.05336,0.83643,0.87019,0.91414,0.85144,0.35965,0.63338,0.98118,0.000148464,0.000148464,0.000148464
40,293.478,0.32556,0.70589,1.03661,0.86376,0.86863,0.92195,0.87891,0.31209,0.59697,0.91867,0.000146108,0.000146108,0.000146108
41,300.608,0.31677,0.74038,1.04547,0.88389,0.86792,0.93733,0.89795,0.29678,0.53548,0.87799,0.000143752,0.000143752,0.000143752
42,307.747,0.32088,0.70912,1.04042,0.85308,0.88715,0.93493,0.87912,0.33275,0.58052,0.94464,0.000141396,0.000141396,0.000141396
43,314.829,0.31797,0.69467,1.03223,0.85456,0.88181,0.92587,0.88344,0.30566,0.55896,0.89716,0.00013904,0.00013904,0.00013904
44,322.038,0.31826,0.6737,1.03054,0.87842,0.80898,0.90931,0.8618,0.3244,0.65461,0.9198,0.000136683,0.000136683,0.000136683
45,329.02,0.30515,0.67061,1.025,0.84406,0.91595,0.94039,0.89546,0.30815,0.53686,0.90544,0.000134327,0.000134327,0.000134327
46,336.199,0.32596,0.68102,1.04043,0.81498,0.87164,0.9231,0.88376,0.28953,0.58053,0.87863,0.000131971,0.000131971,0.000131971
47,343.362,0.31141,0.65329,1.02598,0.86965,0.84921,0.92217,0.88774,0.29059,0.57257,0.87703,0.000129615,0.000129615,0.000129615
48,350.431,0.31215,0.63866,1.02479,0.87812,0.86545,0.93332,0.88437,0.31111,0.564,0.90446,0.000127259,0.000127259,0.000127259
49,357.47,0.31157,0.63629,1.02795,0.8399,0.87883,0.92967,0.89495,0.28292,0.54604,0.87053,0.000124902,0.000124902,0.000124902
50,364.595,0.30415,0.6302,1.02481,0.89575,0.86779,0.93914,0.89685,0.29957,0.52924,0.89532,0.000122546,0.000122546,0.000122546
51,371.643,0.30408,0.62032,1.02438,0.85593,0.88678,0.93688,0.90389,0.28615,0.55948,0.87525,0.00012019,0.00012019,0.00012019
52,378.932,0.30667,0.61354,1.02534,0.87364,0.89873,0.93403,0.89064,0.29945,0.54958,0.89095,0.000117834,0.000117834,0.000117834
53,386.146,0.31184,0.60143,1.03221,0.88416,0.90392,0.95269,0.90896,0.30735,0.51381,0.89941,0.000115478,0.000115478,0.000115478
54,393.385,0.30417,0.58625,1.02362,0.88607,0.9023,0.9485,0.90812,0.30239,0.49,0.89345,0.000113121,0.000113121,0.000113121
55,400.465,0.29453,0.57449,1.01887,0.88965,0.87965,0.93762,0.89409,0.31796,0.53935,0.90201,0.000110765,0.000110765,0.000110765
56,407.95,0.31797,0.61273,1.03743,0.90903,0.90527,0.947,0.90355,0.30878,0.51552,0.89719,0.000108409,0.000108409,0.000108409
57,415.052,0.29905,0.57709,1.02389,0.89296,0.90522,0.95022,0.90958,0.28752,0.5036,0.8827,0.000106053,0.000106053,0.000106053
58,422.381,0.29008,0.57045,1.01933,0.89036,0.88407,0.94492,0.90525,0.29222,0.51871,0.87654,0.000103697,0.000103697,0.000103697
59,429.32,0.29487,0.58076,1.0223,0.87443,0.8908,0.93957,0.89954,0.29104,0.5202,0.87546,0.00010134,0.00010134,0.00010134
60,436.3,0.29338,0.56223,1.01995,0.88316,0.90646,0.94503,0.90579,0.28849,0.50918,0.87093,9.89842e-05,9.89842e-05,9.89842e-05
61,443.555,0.28853,0.55931,1.02229,0.87087,0.91335,0.93789,0.90457,0.28114,0.49913,0.8675,9.6628e-05,9.6628e-05,9.6628e-05
62,450.625,0.29362,0.56863,1.02121,0.90092,0.87975,0.93954,0.90439,0.28273,0.4975,0.86478,9.42718e-05,9.42718e-05,9.42718e-05
